ACCOUNT_ID,CUSTOMER_ID,BALANCE,ACCOUNT_STATUS
ACC00085,C00085,111500000,ACTIVE
ACC00086,C00086,363100000,ACTIVE
ACC00087,C00087,289300000,ACTIVE
ACC00088,C00088,478400000,ACTIVE
ACC00089,C00089,208300000,ACTIVE
ACC00090,C00090,102000000,CLOSED
ACC00091,C00091,275500000,ACTIVE
ACC00092,C00092,211100000,ACTIVE
ACC00093,C00093,136100000,ACTIVE
ACC00094,C00094,192000000,ACTIVE
ACC00095,C00095,400600000,CLOSED
ACC00096,C00096,346300000,ACTIVE
ACC00097,C00097,255500000,BLOCKED
ACC00098,C00098,427700000,ACTIVE
ACC00099,C00099,246700000,ACTIVE
ACC00100,C00100,312400000,ACTIVE
ACC00101,C00101,42700000,ACTIVE
ACC00102,C00102,433800000,ACTIVE
ACC00103,C00103,325900000,ACTIVE
ACC00104,C00104,374600000,ACTIVE
ACC00105,C00105,178600000,ACTIVE
ACC00106,C00106,431300000,ACTIVE
ACC00107,C00107,137000000,ACTIVE
ACC00108,C00108,402100000,CLOSED
ACC00109,C00109,47700000,ACTIVE
ACC00110,C00110,389500000,ACTIVE
ACC00111,C00111,129200000,ACTIVE
ACC00112,C00112,442200000,ACTIVE
ACC00113,C00113,131300000,ACTIVE
ACC00114,C00114,61100000,ACTIVE
ACC00115,C00115,396500000,CLOSED
ACC00116,C00116,453500000,ACTIVE
ACC00117,C00117,392800000,ACTIVE
ACC00118,C00118,240500000,BLOCKED
ACC00119,C00119,495000000,ACTIVE
ACC00120,C00120,8800000,ACTIVE
ACC00121,C00121,132400000,ACTIVE
ACC00122,C00122,14400000,ACTIVE
ACC00123,C00123,71800000,ACTIVE
ACC00124,C00124,443000000,ACTIVE
ACC00125,C00125,461300000,ACTIVE
ACC00126,C00126,202600000,ACTIVE
ACC00127,C00127,259300000,ACTIVE
ACC00128,C00128,433700000,ACTIVE
ACC00129,C00129,271800000,ACTIVE
ACC00130,C00130,118500000,ACTIVE
ACC00131,C00131,385000000,CLOSED
ACC00132,C00132,300000000,ACTIVE
ACC00133,C00133,230300000,ACTIVE
ACC00134,C00134,268800000,ACTIVE
ACC00135,C00135,481800000,ACTIVE
ACC00136,C00136,333400000,ACTIVE
ACC00137,C00137,81800000,CLOSED
ACC00138,C00138,301100000,ACTIVE
ACC00139,C00139,150500000,ACTIVE
ACC00140,C00140,192900000,ACTIVE
ACC00141,C00141,410800000,ACTIVE
ACC00142,C00142,227000000,ACTIVE
ACC00143,C00143,476600000,ACTIVE
ACC00144,C00144,165100000,ACTIVE
ACC00145,C00145,215400000,CLOSED
ACC00146,C00146,178600000,ACTIVE
ACC00147,C00147,433700000,ACTIVE
ACC00148,C00148,43800000,BLOCKED
ACC00149,C00149,489000000,CLOSED
ACC00150,C00150,488400000,CLOSED
ACC00151,C00151,345300000,CLOSED
ACC00152,C00152,286500000,ACTIVE
ACC00153,C00153,84700000,ACTIVE
ACC00154,C00154,158400000,ACTIVE
ACC00155,C00155,296400000,BLOCKED
ACC00156,C00156,5200000,ACTIVE
ACC00157,C00157,116400000,ACTIVE
ACC00158,C00158,83900000,ACTIVE
ACC00159,C00159,118100000,ACTIVE
ACC00160,C00160,287500000,ACTIVE
ACC00161,C00161,23900000,ACTIVE
ACC00162,C00162,456800000,ACTIVE
ACC00163,C00163,251300000,BLOCKED
ACC00164,C00164,35100000,ACTIVE
ACC00165,C00165,171700000,ACTIVE
ACC00166,C00166,281000000,ACTIVE
ACC00167,C00167,394200000,ACTIVE
ACC00168,C00168,326300000,ACTIVE
ACC00169,C00169,37800000,ACTIVE
ACC00170,C00170,258100000,ACTIVE
ACC00171,C00171,236700000,ACTIVE
ACC00172,C00172,7100000,ACTIVE
ACC00173,C00173,203600000,BLOCKED
ACC00174,C00174,352400000,ACTIVE
ACC00175,C00175,391800000,ACTIVE
ACC00176,C00176,191700000,ACTIVE
ACC00177,C00177,148900000,BLOCKED
ACC00178,C00178,168200000,ACTIVE
ACC00179,C00179,318400000,ACTIVE
ACC00180,C00180,183100000,ACTIVE
ACC00181,C00181,68000000,ACTIVE
ACC00182,C00182,407400000,ACTIVE
ACC00183,C00183,486100000,ACTIVE
ACC00184,C00184,189700000,ACTIVE
ACC00185,C00185,429600000,ACTIVE
ACC00186,C00186,261500000,ACTIVE
ACC00187,C00187,211500000,ACTIVE
ACC00188,C00188,301500000,ACTIVE
ACC00189,C00189,204800000,ACTIVE
ACC00190,C00190,163700000,ACTIVE
ACC00191,C00191,473700000,ACTIVE
ACC00192,C00192,356200000,ACTIVE
ACC00193,C00193,331500000,ACTIVE
ACC00194,C00194,180200000,ACTIVE
ACC00195,C00195,276900000,CLOSED
ACC00196,C00196,43100000,ACTIVE
ACC00197,C00197,342000000,ACTIVE
ACC00198,C00198,66000000,ACTIVE
ACC00199,C00199,24900000,ACTIVE
ACC00200,C00200,288200000,ACTIVE
ACC00201,C00201,461500000,ACTIVE
ACC00202,C00202,432500000,ACTIVE
ACC00203,C00203,114800000,ACTIVE
ACC00204,C00204,280500000,ACTIVE
ACC00205,C00205,257000000,BLOCKED
ACC00206,C00206,82300000,ACTIVE
ACC00207,C00207,279800000,ACTIVE
ACC00208,C00208,450700000,ACTIVE
ACC00209,C00209,155300000,ACTIVE
ACC00210,C00210,170400000,ACTIVE
ACC00211,C00211,270100000,ACTIVE
ACC00212,C00212,259100000,ACTIVE
ACC00213,C00213,108800000,ACTIVE
ACC00214,C00214,308200000,CLOSED
ACC00215,C00215,262300000,BLOCKED
ACC00216,C00216,275700000,ACTIVE
ACC00217,C00217,203900000,ACTIVE
ACC00218,C00218,404800000,ACTIVE
ACC00219,C00219,310800000,ACTIVE
ACC00220,C00220,475300000,ACTIVE
ACC00221,C00221,270800000,ACTIVE
ACC00222,C00222,420100000,ACTIVE
ACC00223,C00223,453500000,ACTIVE
ACC00224,C00224,287600000,ACTIVE
ACC00225,C00225,222400000,ACTIVE
ACC00226,C00226,215500000,CLOSED
ACC00227,C00227,426500000,ACTIVE
ACC00228,C00228,390800000,ACTIVE
ACC00229,C00229,2500000,ACTIVE
ACC00230,C00230,479000000,ACTIVE
ACC00231,C00231,232000000,ACTIVE
ACC00232,C00232,181800000,ACTIVE
ACC00233,C00233,92100000,BLOCKED
ACC00234,C00234,495300000,ACTIVE
ACC00235,C00235,300400000,ACTIVE
ACC00236,C00236,171300000,ACTIVE
ACC00237,C00237,497500000,ACTIVE
ACC00238,C00238,472900000,ACTIVE
ACC00239,C00239,445900000,ACTIVE
ACC00240,C00240,273800000,ACTIVE
ACC00241,C00241,406700000,ACTIVE
ACC00242,C00242,222300000,ACTIVE
ACC00243,C00243,123900000,ACTIVE
ACC00244,C00244,251500000,ACTIVE
ACC00245,C00245,164900000,ACTIVE
ACC00246,C00246,157400000,ACTIVE
ACC00247,C00247,122600000,ACTIVE
ACC00248,C00248,392300000,ACTIVE
ACC00249,C00249,426000000,ACTIVE
ACC00250,C00250,386200000,ACTIVE
ACC00251,C00251,216400000,ACTIVE
ACC00252,C00252,253200000,ACTIVE
ACC00253,C00253,262600000,ACTIVE
ACC00254,C00254,28600000,ACTIVE
ACC00255,C00255,315200000,ACTIVE
ACC00256,C00256,273900000,ACTIVE
ACC00257,C00257,231800000,ACTIVE
ACC00258,C00258,139200000,CLOSED
ACC00259,C00259,285800000,ACTIVE
ACC00260,C00260,5900000,ACTIVE
ACC00261,C00261,244000000,ACTIVE
ACC00262,C00262,403800000,BLOCKED
ACC00263,C00263,67400000,ACTIVE
ACC00264,C00264,446900000,ACTIVE
ACC00265,C00265,381900000,BLOCKED
ACC00266,C00266,170600000,ACTIVE
ACC00267,C00267,108400000,ACTIVE
ACC00268,C00268,434300000,ACTIVE
ACC00269,C00269,30800000,BLOCKED
ACC00270,C00270,269200000,ACTIVE
ACC00271,C00271,322200000,ACTIVE
ACC00272,C00272,148400000,ACTIVE
ACC00273,C00273,142800000,ACTIVE
ACC00274,C00274,193000000,ACTIVE
ACC00275,C00275,235300000,BLOCKED
ACC00276,C00276,234700000,ACTIVE
ACC00277,C00277,219100000,ACTIVE
ACC00278,C00278,147900000,ACTIVE
ACC00279,C00279,100100000,ACTIVE
ACC00280,C00280,41100000,ACTIVE
ACC00281,C00281,128500000,ACTIVE
ACC00282,C00282,425800000,ACTIVE
ACC00283,C00283,405100000,ACTIVE
ACC00284,C00284,222700000,ACTIVE
ACC00285,C00285,65800000,ACTIVE
ACC00286,C00286,116700000,ACTIVE
ACC00287,C00287,63700000,BLOCKED
ACC00288,C00288,459200000,ACTIVE
ACC00289,C00289,484600000,ACTIVE
ACC00290,C00290,153000000,ACTIVE
ACC00291,C00291,395700000,ACTIVE
ACC00292,C00292,440600000,ACTIVE
ACC00293,C00293,373700000,ACTIVE
ACC00294,C00294,47000000,BLOCKED
ACC00295,C00295,119100000,ACTIVE
ACC00296,C00296,358100000,ACTIVE
ACC00297,C00297,55100000,ACTIVE
ACC00298,C00298,112900000,ACTIVE
ACC00299,C00299,290900000,ACTIVE
ACC00300,C00300,72100000,ACTIVE
ACC00301,C00301,48400000,ACTIVE
ACC00302,C00302,180400000,ACTIVE
ACC00303,C00303,269100000,ACTIVE
ACC00304,C00304,444500000,ACTIVE
ACC00305,C00305,20200000,ACTIVE
ACC00306,C00306,325700000,ACTIVE
ACC00307,C00307,347500000,ACTIVE
ACC00308,C00308,198400000,ACTIVE
ACC00309,C00309,419400000,ACTIVE
ACC00310,C00310,106500000,ACTIVE
ACC00311,C00311,54700000,ACTIVE
ACC00312,C00312,253900000,ACTIVE
ACC00313,C00313,52400000,ACTIVE
ACC00314,C00314,384400000,ACTIVE
ACC00315,C00315,153200000,ACTIVE
ACC00316,C00316,16700000,ACTIVE
ACC00317,C00317,169200000,ACTIVE
ACC00318,C00318,299600000,ACTIVE
ACC00319,C00319,90700000,ACTIVE
ACC00320,C00320,25900000,ACTIVE
ACC00321,C00321,51800000,ACTIVE
ACC00322,C00322,259500000,ACTIVE
ACC00323,C00323,150500000,BLOCKED
ACC00324,C00324,414100000,ACTIVE
ACC00325,C00325,228700000,ACTIVE
ACC00326,C00326,205900000,ACTIVE
ACC00327,C00327,355200000,ACTIVE
ACC00328,C00328,194300000,ACTIVE
ACC00329,C00329,170400000,ACTIVE
ACC00330,C00330,333000000,ACTIVE
ACC00331,C00331,286500000,ACTIVE
ACC00332,C00332,242500000,BLOCKED
ACC00333,C00333,265400000,ACTIVE
ACC00334,C00334,483300000,ACTIVE
ACC00335,C00335,306500000,ACTIVE
ACC00336,C00336,61500000,ACTIVE
ACC00337,C00337,256500000,ACTIVE
ACC00338,C00338,340300000,ACTIVE
ACC00339,C00339,419800000,ACTIVE
ACC00340,C00340,4200000,ACTIVE
ACC00341,C00341,483100000,ACTIVE
ACC00342,C00342,55100000,CLOSED
ACC00343,C00343,274500000,ACTIVE
ACC00344,C00344,83400000,CLOSED
ACC00345,C00345,354300000,ACTIVE
ACC00346,C00346,297200000,ACTIVE
ACC00347,C00347,190300000,ACTIVE
ACC00348,C00348,272300000,BLOCKED
ACC00349,C00349,440800000,ACTIVE
ACC00350,C00350,212400000,ACTIVE
ACC00351,C00351,278400000,ACTIVE
ACC00352,C00352,482500000,ACTIVE
ACC00353,C00353,259700000,ACTIVE
ACC00354,C00354,325200000,ACTIVE
ACC00355,C00355,97400000,ACTIVE
ACC00356,C00356,232900000,ACTIVE
ACC00357,C00357,294200000,ACTIVE
ACC00358,C00358,499900000,ACTIVE
ACC00359,C00359,481200000,ACTIVE
ACC00360,C00360,11800000,ACTIVE
ACC00361,C00361,192800000,ACTIVE
ACC00362,C00362,100100000,ACTIVE
ACC00363,C00363,94700000,ACTIVE
ACC00364,C00364,343300000,CLOSED
ACC00365,C00365,455500000,ACTIVE
ACC00366,C00366,60400000,ACTIVE
ACC00367,C00367,73200000,ACTIVE
ACC00368,C00368,393100000,ACTIVE
ACC00369,C00369,4300000,CLOSED
ACC00370,C00370,311600000,ACTIVE
ACC00371,C00371,254600000,CLOSED
ACC00372,C00372,206200000,BLOCKED
ACC00373,C00373,224800000,ACTIVE
ACC00374,C00374,134900000,ACTIVE
ACC00375,C00375,291800000,ACTIVE
ACC00376,C00376,251900000,ACTIVE
ACC00377,C00377,470600000,ACTIVE
ACC00378,C00378,406700000,ACTIVE
ACC00379,C00379,439800000,ACTIVE
ACC00380,C00380,108200000,BLOCKED
ACC00381,C00381,193300000,ACTIVE
ACC00382,C00382,251600000,ACTIVE
ACC00383,C00383,190200000,ACTIVE
ACC00384,C00384,305300000,ACTIVE
ACC00385,C00385,384600000,ACTIVE
ACC00386,C00386,186900000,ACTIVE
ACC00387,C00387,171100000,ACTIVE
ACC00388,C00388,120800000,ACTIVE
ACC00389,C00389,49100000,ACTIVE
ACC00390,C00390,327000000,ACTIVE
ACC00391,C00391,411400000,ACTIVE
ACC00392,C00392,417700000,ACTIVE
ACC00393,C00393,205200000,ACTIVE
ACC00394,C00394,390900000,ACTIVE
ACC00395,C00395,30800000,ACTIVE
ACC00396,C00396,485400000,ACTIVE
ACC00397,C00397,147000000,ACTIVE
ACC00398,C00398,419200000,ACTIVE
ACC00399,C00399,381100000,ACTIVE
ACC00400,C00400,144000000,ACTIVE
ACC00401,C00401,41200000,ACTIVE
ACC00402,C00402,94400000,ACTIVE
ACC00403,C00403,9900000,CLOSED
ACC00404,C00404,15500000,ACTIVE
ACC00405,C00405,154900000,ACTIVE
ACC00406,C00406,281700000,ACTIVE
ACC00407,C00407,112500000,ACTIVE
ACC00408,C00408,156300000,ACTIVE
ACC00409,C00409,137800000,ACTIVE
ACC00410,C00410,360700000,ACTIVE
ACC00411,C00411,373100000,ACTIVE
ACC00412,C00412,208600000,ACTIVE
ACC00413,C00413,177000000,ACTIVE
ACC00414,C00414,499000000,ACTIVE
ACC00415,C00415,206900000,BLOCKED
ACC00416,C00416,231600000,ACTIVE
ACC00417,C00417,318200000,ACTIVE
ACC00418,C00418,151400000,CLOSED
ACC00419,C00419,15700000,CLOSED
ACC00420,C00420,231200000,ACTIVE
ACC00421,C00421,396200000,CLOSED
ACC00422,C00422,37500000,ACTIVE
ACC00423,C00423,262900000,ACTIVE
ACC00424,C00424,319000000,ACTIVE
ACC00425,C00425,9900000,ACTIVE
ACC00426,C00426,491100000,ACTIVE
ACC00427,C00427,209000000,ACTIVE
ACC00428,C00428,337600000,ACTIVE
ACC00429,C00429,184100000,ACTIVE
ACC00430,C00430,292400000,ACTIVE
ACC00431,C00431,396800000,ACTIVE
ACC00432,C00432,211400000,ACTIVE
ACC00433,C00433,464400000,ACTIVE
ACC00434,C00434,89100000,ACTIVE
ACC00435,C00435,287900000,ACTIVE
ACC00436,C00436,301500000,ACTIVE
ACC00437,C00437,89400000,ACTIVE
ACC00438,C00438,47300000,ACTIVE
ACC00439,C00439,310400000,ACTIVE
ACC00440,C00440,207800000,ACTIVE
ACC00441,C00441,55900000,ACTIVE
ACC00442,C00442,406300000,ACTIVE
ACC00443,C00443,441100000,ACTIVE
ACC00444,C00444,76900000,ACTIVE
ACC00445,C00445,194500000,BLOCKED
ACC00446,C00446,192400000,ACTIVE
ACC00447,C00447,244600000,ACTIVE
ACC00448,C00448,10000000,ACTIVE
ACC00449,C00449,488900000,ACTIVE
ACC00450,C00450,354700000,ACTIVE
ACC00451,C00451,338900000,ACTIVE
ACC00452,C00452,70400000,ACTIVE
ACC00453,C00453,79400000,ACTIVE
ACC00454,C00454,18600000,ACTIVE
ACC00455,C00455,312800000,CLOSED
ACC00456,C00456,116900000,ACTIVE
ACC00457,C00457,383400000,ACTIVE
ACC00458,C00458,234200000,ACTIVE
ACC00459,C00459,452500000,ACTIVE
ACC00460,C00460,424000000,ACTIVE
ACC00461,C00461,234900000,ACTIVE
ACC00462,C00462,8300000,ACTIVE
ACC00463,C00463,177200000,ACTIVE
ACC00464,C00464,203400000,ACTIVE
ACC00465,C00465,146500000,ACTIVE
ACC00466,C00466,267800000,ACTIVE
ACC00467,C00467,321800000,ACTIVE
ACC00468,C00468,43200000,ACTIVE
ACC00469,C00469,133800000,ACTIVE
ACC00470,C00470,292200000,ACTIVE
ACC00471,C00471,455800000,ACTIVE
ACC00472,C00472,456700000,ACTIVE
ACC00473,C00473,476700000,ACTIVE
ACC00474,C00474,261600000,ACTIVE
ACC00475,C00475,35500000,ACTIVE
ACC00476,C00476,39000000,ACTIVE
ACC00477,C00477,25400000,ACTIVE
ACC00478,C00478,41400000,ACTIVE
ACC00479,C00479,290900000,ACTIVE
ACC00480,C00480,119500000,ACTIVE
ACC00481,C00481,441600000,ACTIVE
ACC00482,C00482,261800000,ACTIVE
ACC00483,C00483,203700000,ACTIVE
ACC00484,C00484,145300000,ACTIVE
ACC00485,C00485,181500000,ACTIVE
ACC00486,C00486,166700000,ACTIVE
ACC00487,C00487,163200000,ACTIVE
ACC00488,C00488,153100000,ACTIVE
ACC00489,C00489,418800000,ACTIVE
ACC00490,C00490,59100000,CLOSED
ACC00491,C00491,222400000,ACTIVE
ACC00492,C00492,17300000,ACTIVE
ACC00493,C00493,175200000,ACTIVE
ACC00494,C00494,352400000,BLOCKED
ACC00495,C00495,481900000,ACTIVE
ACC00496,C00496,222100000,ACTIVE
ACC00497,C00497,148400000,ACTIVE
ACC00498,C00498,302400000,ACTIVE
ACC00499,C00499,271900000,ACTIVE
ACC00500,C00500,459500000,CLOSED
ACC00501,C00501,95400000,ACTIVE
ACC00502,C00502,111100000,ACTIVE
ACC00503,C00503,148800000,ACTIVE
ACC00504,C00504,95800000,ACTIVE
ACC00505,C00505,491000000,ACTIVE
ACC00506,C00506,93700000,ACTIVE
ACC00507,C00507,404900000,ACTIVE
ACC00508,C00508,466800000,ACTIVE
ACC00509,C00509,294800000,ACTIVE
ACC00510,C00510,194200000,ACTIVE
ACC00511,C00511,51500000,ACTIVE
ACC00512,C00512,54100000,CLOSED
ACC00513,C00513,202900000,BLOCKED
ACC00514,C00514,25400000,ACTIVE
ACC00515,C00515,345300000,ACTIVE
ACC00516,C00516,131100000,ACTIVE
ACC00517,C00517,157000000,ACTIVE
ACC00518,C00518,491600000,ACTIVE
ACC00519,C00519,238100000,ACTIVE
ACC00520,C00520,211200000,ACTIVE
ACC00521,C00521,328200000,ACTIVE
ACC00522,C00522,171200000,ACTIVE
ACC00523,C00523,154700000,ACTIVE
ACC00524,C00524,8600000,BLOCKED
ACC00525,C00525,79800000,ACTIVE
ACC00526,C00526,309200000,ACTIVE
ACC00527,C00527,234400000,ACTIVE
ACC00528,C00528,458400000,ACTIVE
ACC00529,C00529,491400000,BLOCKED
ACC00530,C00530,363400000,ACTIVE
ACC00531,C00531,89800000,ACTIVE
ACC00532,C00532,85100000,ACTIVE
ACC00533,C00533,296000000,ACTIVE
ACC00534,C00534,486800000,CLOSED
ACC00535,C00535,161400000,ACTIVE
ACC00536,C00536,375200000,ACTIVE
ACC00537,C00537,330400000,ACTIVE
ACC00538,C00538,456400000,ACTIVE
ACC00539,C00539,87200000,ACTIVE
ACC00540,C00540,80300000,ACTIVE
ACC00541,C00541,445000000,ACTIVE
ACC00542,C00542,407700000,ACTIVE
ACC00543,C00543,334400000,ACTIVE
ACC00544,C00544,168000000,ACTIVE
ACC00545,C00545,455300000,ACTIVE
ACC00546,C00546,188800000,ACTIVE
ACC00547,C00547,320700000,ACTIVE
ACC00548,C00548,89100000,ACTIVE
ACC00549,C00549,329500000,ACTIVE
ACC00550,C00550,335300000,ACTIVE
ACC00551,C00551,142200000,ACTIVE
ACC00552,C00552,75100000,ACTIVE
ACC00553,C00553,402600000,ACTIVE
ACC00554,C00554,250700000,BLOCKED
ACC00555,C00555,283000000,ACTIVE
ACC00556,C00556,469100000,ACTIVE
ACC00557,C00557,21600000,ACTIVE
ACC00558,C00558,438500000,CLOSED
ACC00559,C00559,205000000,ACTIVE
ACC00560,C00560,492000000,ACTIVE
ACC00561,C00561,385800000,ACTIVE
ACC00562,C00562,150800000,ACTIVE
ACC00563,C00563,373500000,ACTIVE
ACC00564,C00564,475000000,ACTIVE
ACC00565,C00565,23400000,ACTIVE
ACC00566,C00566,22600000,ACTIVE
ACC00567,C00567,92000000,ACTIVE
ACC00568,C00568,413600000,ACTIVE
ACC00569,C00569,58300000,ACTIVE
ACC00570,C00570,168700000,ACTIVE
ACC00571,C00571,490300000,BLOCKED
ACC00572,C00572,138100000,ACTIVE
ACC00573,C00573,7400000,ACTIVE
ACC00574,C00574,153400000,ACTIVE
ACC00575,C00575,64900000,ACTIVE
ACC00576,C00576,273100000,ACTIVE
ACC00577,C00577,14200000,ACTIVE
ACC00578,C00578,98500000,ACTIVE
ACC00579,C00579,7500000,ACTIVE
ACC00580,C00580,77900000,ACTIVE
ACC00581,C00581,45000000,ACTIVE
ACC00582,C00582,160500000,ACTIVE
ACC00583,C00583,202700000,ACTIVE
ACC00584,C00584,254500000,ACTIVE
ACC00585,C00585,88000000,ACTIVE
ACC00586,C00586,59800000,ACTIVE
ACC00587,C00587,296100000,ACTIVE
ACC00588,C00588,111300000,ACTIVE
ACC00589,C00589,68600000,CLOSED
ACC00590,C00590,321800000,ACTIVE
ACC00591,C00591,323900000,ACTIVE
ACC00592,C00592,148700000,BLOCKED
ACC00593,C00593,203500000,ACTIVE
ACC00594,C00594,363700000,ACTIVE
ACC00595,C00595,306900000,ACTIVE
ACC00596,C00596,30200000,ACTIVE
ACC00597,C00597,402500000,ACTIVE
ACC00598,C00598,186500000,ACTIVE
ACC00599,C00599,357400000,ACTIVE
ACC00600,C00600,347200000,ACTIVE
ACC00601,C00601,154700000,ACTIVE
ACC00602,C00602,264600000,ACTIVE
ACC00603,C00603,316100000,ACTIVE
ACC00604,C00604,402800000,ACTIVE
ACC00605,C00605,206200000,ACTIVE
ACC00606,C00606,232900000,ACTIVE
ACC00607,C00607,289300000,ACTIVE
ACC00608,C00608,167300000,ACTIVE
ACC00609,C00609,322100000,ACTIVE
ACC00610,C00610,485800000,ACTIVE
ACC00611,C00611,445200000,ACTIVE
ACC00612,C00612,11200000,ACTIVE
ACC00613,C00613,290400000,BLOCKED
ACC00614,C00614,242000000,ACTIVE
ACC00615,C00615,113200000,ACTIVE
ACC00616,C00616,463900000,ACTIVE
ACC00617,C00617,440200000,ACTIVE
ACC00618,C00618,13200000,ACTIVE
ACC00619,C00619,403700000,ACTIVE
ACC00620,C00620,424200000,ACTIVE
ACC00621,C00621,12100000,ACTIVE
ACC00622,C00622,162500000,ACTIVE
ACC00623,C00623,350500000,ACTIVE
ACC00624,C00624,284100000,ACTIVE
ACC00625,C00625,351100000,ACTIVE
ACC00626,C00626,91400000,ACTIVE
ACC00627,C00627,84800000,ACTIVE
ACC00628,C00628,178400000,ACTIVE
ACC00629,C00629,15000000,ACTIVE
ACC00630,C00630,10000000,CLOSED
ACC00631,C00631,412700000,ACTIVE
ACC00632,C00632,264400000,ACTIVE
ACC00633,C00633,406000000,ACTIVE
ACC00634,C00634,475000000,ACTIVE
ACC00635,C00635,233900000,ACTIVE
ACC00636,C00636,13100000,ACTIVE
ACC00637,C00637,486000000,ACTIVE
ACC00638,C00638,147800000,ACTIVE
ACC00639,C00639,399100000,ACTIVE
ACC00640,C00640,86600000,ACTIVE
ACC00641,C00641,459700000,ACTIVE
ACC00642,C00642,249400000,ACTIVE
ACC00643,C00643,124500000,ACTIVE
ACC00644,C00644,248100000,ACTIVE
ACC00645,C00645,48000000,ACTIVE
ACC00646,C00646,6600000,ACTIVE
ACC00647,C00647,491700000,CLOSED
ACC00648,C00648,298000000,ACTIVE
ACC00649,C00649,173800000,ACTIVE
ACC00650,C00650,321100000,ACTIVE
ACC00651,C00651,79200000,ACTIVE
ACC00652,C00652,88200000,ACTIVE
ACC00653,C00653,146700000,ACTIVE
ACC00654,C00654,179800000,ACTIVE
ACC00655,C00655,323000000,ACTIVE
ACC00656,C00656,431200000,ACTIVE
ACC00657,C00657,116200000,ACTIVE
ACC00658,C00658,309800000,ACTIVE
ACC00659,C00659,186700000,ACTIVE
ACC00660,C00660,344800000,ACTIVE
ACC00661,C00661,440600000,ACTIVE
ACC00662,C00662,343100000,ACTIVE
ACC00663,C00663,222500000,ACTIVE
ACC00664,C00664,450100000,ACTIVE
