TXN_ID,CARD_ID,CUSTOMER_ID,MERCHANT_ID,TERMINAL_ID,TXN_TIME,AMOUNT,COUNTRY,DEVICE_ID,FRAUD_LABEL
TXN00040,CARD06851,C06851,M004,T004,2026-07-02 03:50:00,46930000,HK,DEV0020,0
TXN00041,CARD06618,C06618,M009,T009,2026-07-11 18:00:00,12650000,VN,DEV0708,0
TXN00042,CARD08392,C08392,M007,T007,2026-07-21 05:35:00,38310000,VN,DEV1181,0
TXN00043,CARD08795,C08795,M014,T014,2026-07-10 23:46:00,14890000,VN,DEV1866,0
TXN00044,CARD02638,C02638,M002,T002,2026-07-15 06:49:00,3270000,HK,DEV0420,0
TXN00045,CARD09666,C09666,M010,T010,2026-07-02 10:30:00,14210000,VN,DEV1929,0
TXN00046,CARD01895,C01895,M001,T001,2026-07-05 15:26:00,33520000,VN,DEV1808,0
TXN00047,CARD09005,C09005,M004,T004,2026-07-18 11:42:00,46210000,SG,DEV1536,0
TXN00048,CARD04185,C04185,M006,T006,2026-07-11 22:54:00,22480000,VN,DEV0461,0
TXN00049,CARD02278,C02278,M001,T001,2026-07-18 14:04:00,48520000,VN,DEV0084,0
TXN00050,CARD09266,C09266,M009,T009,2026-07-15 06:17:00,34420000,VN,DEV1238,0
TXN00051,CARD05779,C05779,M011,T011,2026-07-09 02:37:00,180000,VN,DEV0012,0
TXN00052,CARD07351,C07351,M010,T010,2026-07-24 00:30:00,42200000,VN,DEV1058,0
TXN00053,CARD08502,C08502,M014,T014,2026-07-15 03:02:00,18900000,VN,DEV0761,0
TXN00054,CARD04182,C04182,M006,T006,2026-07-11 09:17:00,14150000,VN,DEV0228,0
TXN00055,CARD01892,C01892,M001,T001,2026-07-22 02:46:00,11480000,VN,DEV1537,0
TXN00056,CARD01658,C01658,M006,T006,2026-07-08 23:06:00,10530000,VN,DEV0081,0
TXN00057,CARD00704,C00704,M011,T011,2026-07-11 18:04:00,36960000,VN,DEV0656,0
TXN00058,CARD01815,C01815,M007,T007,2026-07-01 22:17:00,16340000,VN,DEV1799,0
TXN00059,CARD07936,C07936,M012,T012,2026-07-04 13:31:00,4190000,VN,DEV0766,0
TXN00060,CARD08446,C08446,M008,T008,2026-07-24 02:52:00,20030000,VN,DEV0203,0
TXN00061,CARD02322,C02322,M014,T014,2026-07-06 00:02:00,29840000,VN,DEV1559,0
TXN00062,CARD03017,C03017,M007,T007,2026-07-24 15:19:00,1800000,VN,DEV0623,0
TXN00063,CARD00563,C00563,M013,T013,2026-07-01 09:38:00,10230000,VN,DEV1889,0
TXN00064,CARD04689,C04689,M010,T010,2026-07-13 17:19:00,6860000,VN,DEV0874,0
TXN00065,CARD05810,C05810,M010,T010,2026-07-24 17:29:00,13000000,VN,DEV1806,0
TXN00066,CARD05780,C05780,M002,T002,2026-07-27 02:31:00,18920000,US,DEV0485,0
TXN00067,CARD01107,C01107,M004,T004,2026-07-26 04:38:00,5390000,US,DEV1886,0
TXN00068,CARD05478,C05478,M003,T003,2026-07-21 03:49:00,11020000,US,DEV1536,0
TXN00069,CARD05894,C05894,M003,T003,2026-07-15 00:31:00,11650000,HK,DEV0005,0
TXN00070,CARD01658,C01658,M007,T007,2026-07-08 13:44:00,48460000,VN,DEV1798,0
TXN00071,CARD02849,C02849,M007,T007,2026-07-27 13:06:00,36790000,VN,DEV1280,0
TXN00072,CARD08531,C08531,M001,T001,2026-07-15 20:11:00,34390000,VN,DEV0067,0
TXN00073,CARD06770,C06770,M007,T007,2026-07-16 03:54:00,30140000,VN,DEV0744,0
TXN00074,CARD04923,C04923,M004,T004,2026-07-25 04:47:00,29780000,US,DEV0128,0
TXN00075,CARD03595,C03595,M010,T010,2026-07-26 11:42:00,9000000,VN,DEV1726,0
TXN00076,CARD07536,C07536,M013,T013,2026-07-12 00:29:00,2190000,VN,DEV0986,0
TXN00077,CARD09007,C09007,M010,T010,2026-07-12 21:12:00,31260000,VN,DEV1926,0
TXN00078,CARD01302,C01302,M005,T005,2026-07-21 06:33:00,13370000,HK,DEV1680,0
TXN00079,CARD05962,C05962,M014,T014,2026-07-26 04:49:00,29520000,VN,DEV1894,0
TXN00080,CARD07394,C07394,M013,T013,2026-07-27 18:20:00,18500000,VN,DEV0834,0
TXN00081,CARD01382,C01382,M011,T011,2026-07-24 06:26:00,15210000,VN,DEV0530,0
TXN00082,CARD02429,C02429,M002,T002,2026-07-23 12:01:00,39970000,HK,DEV0188,0
TXN00083,CARD07964,C07964,M009,T009,2026-07-13 21:52:00,30220000,VN,DEV1397,0
TXN00084,CARD06655,C06655,M012,T012,2026-07-17 04:46:00,32770000,VN,DEV1297,0
TXN00085,CARD09311,C09311,M008,T008,2026-07-16 13:01:00,37390000,VN,DEV0781,0
TXN00086,CARD00518,C00518,M004,T004,2026-07-17 18:40:00,12690000,HK,DEV1666,0
TXN00087,CARD02421,C02421,M004,T004,2026-07-15 22:38:00,21040000,US,DEV0217,0
TXN00088,CARD00905,C00905,M004,T004,2026-07-06 23:05:00,19870000,US,DEV1596,0
TXN00089,CARD02679,C02679,M002,T002,2026-07-14 00:07:00,4230000,US,DEV0979,0
TXN00090,CARD00332,C00332,M012,T012,2026-07-23 03:51:00,23680000,VN,DEV0157,0
TXN00091,CARD04240,C04240,M014,T014,2026-07-10 15:27:00,29620000,VN,DEV1805,0
TXN00092,CARD07007,C07007,M003,T003,2026-07-02 03:10:00,49200000,US,DEV0801,0
TXN00093,CARD02517,C02517,M005,T005,2026-07-14 13:57:00,16740000,HK,DEV1586,0
TXN00094,CARD09020,C09020,M010,T010,2026-07-16 01:14:00,11120000,VN,DEV0530,0
TXN00095,CARD02827,C02827,M003,T003,2026-07-20 06:35:00,19440000,HK,DEV1284,0
TXN00096,CARD01729,C01729,M010,T010,2026-07-05 03:19:00,12740000,VN,DEV0156,0
TXN00097,CARD05943,C05943,M001,T001,2026-07-19 07:24:00,43410000,VN,DEV1557,0
TXN00098,CARD04933,C04933,M001,T001,2026-07-11 12:46:00,19820000,VN,DEV0211,0
TXN00099,CARD04411,C04411,M013,T013,2026-07-13 10:11:00,45370000,VN,DEV1671,0
TXN00100,CARD09736,C09736,M014,T014,2026-07-09 22:32:00,48600000,VN,DEV0226,0
TXN00101,CARD05267,C05267,M010,T010,2026-07-07 15:25:00,15860000,VN,DEV1846,0
TXN00102,CARD05475,C05475,M014,T014,2026-07-14 02:25:00,7860000,VN,DEV0089,0
TXN00103,CARD00221,C00221,M003,T003,2026-07-08 01:02:00,240000,HK,DEV0396,0
TXN00104,CARD06321,C06321,M008,T008,2026-07-05 15:07:00,45610000,VN,DEV0213,0
TXN00105,CARD03888,C03888,M001,T001,2026-07-24 07:33:00,34510000,VN,DEV0609,0
TXN00106,CARD08753,C08753,M009,T009,2026-07-08 23:47:00,7980000,VN,DEV0662,0
TXN00107,CARD06192,C06192,M006,T006,2026-07-06 12:03:00,20060000,VN,DEV0276,0
TXN00108,CARD03940,C03940,M011,T011,2026-07-16 14:55:00,3080000,VN,DEV1140,0
TXN00109,CARD07485,C07485,M013,T013,2026-07-17 05:41:00,39830000,VN,DEV0457,0
TXN00110,CARD07306,C07306,M007,T007,2026-07-04 12:16:00,15390000,VN,DEV1859,0
TXN00111,CARD04019,C04019,M012,T012,2026-07-20 16:57:00,10210000,VN,DEV1544,0
TXN00112,CARD08915,C08915,M010,T010,2026-07-18 03:52:00,32100000,VN,DEV1423,0
TXN00113,CARD09729,C09729,M003,T003,2026-07-15 06:57:00,48750000,SG,DEV0779,0
TXN00114,CARD04816,C04816,M009,T009,2026-07-12 20:14:00,33120000,VN,DEV0990,0
TXN00115,CARD00531,C00531,M002,T002,2026-07-13 01:19:00,37390000,SG,DEV0367,0
TXN00116,CARD00647,C00647,M008,T008,2026-07-13 03:37:00,25370000,HK,NEW_DEVICE,1
TXN00117,CARD02734,C02734,M008,T008,2026-07-23 23:09:00,47780000,VN,DEV1424,0
TXN00118,CARD07180,C07180,M011,T011,2026-07-20 11:18:00,11740000,VN,NEW_DEVICE,1
TXN00119,CARD04270,C04270,M002,T002,2026-07-06 08:27:00,9550000,HK,DEV1313,0
TXN00120,CARD01174,C01174,M013,T013,2026-07-17 19:29:00,390000,HK,NEW_DEVICE,1
TXN00121,CARD02087,C02087,M011,T011,2026-07-16 22:41:00,4370000,VN,DEV0108,0
TXN00122,CARD04614,C04614,M011,T011,2026-07-03 01:04:00,37730000,VN,DEV1091,0
TXN00123,CARD03305,C03305,M003,T003,2026-07-25 07:48:00,6440000,SG,DEV0886,0
TXN00124,CARD09381,C09381,M003,T003,2026-07-11 17:59:00,18680000,US,DEV1768,0
TXN00125,CARD05764,C05764,M004,T004,2026-07-12 05:46:00,10260000,HK,DEV1569,0
TXN00126,CARD00431,C00431,M003,T003,2026-07-16 08:32:00,39680000,SG,DEV1143,0
TXN00127,CARD08694,C08694,M009,T009,2026-07-13 11:21:00,1730000,VN,DEV1382,0
TXN00128,CARD01020,C01020,M014,T014,2026-07-05 14:47:00,25480000,VN,DEV1776,0
TXN00129,CARD06482,C06482,M003,T003,2026-07-09 23:59:00,49420000,HK,DEV0042,0
TXN00130,CARD05982,C05982,M011,T011,2026-07-28 07:11:00,8620000,VN,DEV1762,0
TXN00131,CARD06689,C06689,M012,T012,2026-07-22 03:51:00,22390000,VN,DEV1747,0
TXN00132,CARD07200,C07200,M004,T004,2026-07-06 21:58:00,34480000,SG,DEV1431,0
TXN00133,CARD02381,C02381,M006,T006,2026-07-26 10:41:00,44160000,VN,DEV0457,0
TXN00134,CARD05058,C05058,M009,T009,2026-07-27 06:59:00,49020000,VN,DEV0438,0
TXN00135,CARD08162,C08162,M002,T002,2026-07-09 20:56:00,45940000,US,DEV0602,0
TXN00136,CARD06284,C06284,M011,T011,2026-07-28 10:17:00,540000,VN,DEV0217,0
TXN00137,CARD07702,C07702,M006,T006,2026-07-13 06:32:00,26470000,VN,DEV0168,0
TXN00138,CARD08375,C08375,M007,T007,2026-07-09 11:47:00,21270000,VN,DEV0218,0
TXN00139,CARD05911,C05911,M010,T010,2026-07-24 10:25:00,10830000,VN,DEV0138,0
TXN00140,CARD04131,C04131,M004,T004,2026-07-02 04:00:00,12550000,HK,DEV0503,0
TXN00141,CARD00188,C00188,M011,T011,2026-07-19 13:02:00,31120000,VN,DEV1668,0
TXN00142,CARD09171,C09171,M007,T007,2026-07-19 23:31:00,10010000,VN,DEV0012,0
TXN00143,CARD02895,C02895,M001,T001,2026-07-17 16:51:00,25320000,VN,DEV0072,0
TXN00144,CARD09502,C09502,M004,T004,2026-07-09 07:23:00,28950000,HK,DEV1530,0
TXN00145,CARD05890,C05890,M011,T011,2026-07-11 10:44:00,45460000,VN,DEV1101,0
TXN00146,CARD09705,C09705,M001,T001,2026-07-26 17:51:00,14560000,VN,DEV0178,0
TXN00147,CARD06467,C06467,M010,T010,2026-07-15 03:38:00,1010000,VN,DEV0317,0
TXN00148,CARD08800,C08800,M011,T011,2026-07-21 07:27:00,22230000,VN,DEV1233,0
TXN00149,CARD08544,C08544,M001,T001,2026-07-03 21:51:00,5310000,VN,DEV0287,0
TXN00150,CARD04730,C04730,M001,T001,2026-07-15 11:24:00,7550000,VN,DEV0704,0
TXN00151,CARD07987,C07987,M002,T002,2026-07-02 09:20:00,49350000,US,DEV0705,0
TXN00152,CARD02003,C02003,M001,T001,2026-07-25 08:00:00,46650000,VN,DEV1895,0
TXN00153,CARD00708,C00708,M010,T010,2026-07-17 04:31:00,45270000,VN,DEV1060,0
TXN00154,CARD08239,C08239,M004,T004,2026-07-25 15:34:00,20080000,US,DEV0145,0
TXN00155,CARD04067,C04067,M005,T005,2026-07-04 13:57:00,44340000,US,DEV1968,0
TXN00156,CARD04166,C04166,M011,T011,2026-07-10 12:06:00,40010000,VN,DEV1348,0
TXN00157,CARD03846,C03846,M006,T006,2026-07-24 22:21:00,18780000,VN,DEV0719,0
TXN00158,CARD06739,C06739,M003,T003,2026-07-08 20:52:00,9240000,US,DEV0507,0
TXN00159,CARD05406,C05406,M009,T009,2026-07-02 08:21:00,43900000,VN,DEV1210,0
TXN00160,CARD07496,C07496,M003,T003,2026-07-20 03:19:00,1000000,US,DEV0820,0
TXN00161,CARD06468,C06468,M014,T014,2026-07-07 22:23:00,43210000,VN,DEV1535,0
TXN00162,CARD06070,C06070,M008,T008,2026-07-13 08:51:00,42260000,VN,DEV1634,0
TXN00163,CARD02044,C02044,M004,T004,2026-07-02 00:16:00,15880000,HK,DEV0671,0
TXN00164,CARD01539,C01539,M002,T002,2026-07-25 04:05:00,46740000,SG,DEV0418,0
TXN00165,CARD08770,C08770,M006,T006,2026-07-13 11:58:00,39850000,VN,DEV0971,0
TXN00166,CARD04920,C04920,M006,T006,2026-07-06 02:47:00,24860000,VN,DEV1253,0
TXN00167,CARD04437,C04437,M002,T002,2026-07-04 21:07:00,3910000,HK,DEV1016,0
TXN00168,CARD02102,C02102,M008,T008,2026-07-18 01:30:00,47000000,VN,DEV0815,0
TXN00169,CARD09059,C09059,M003,T003,2026-07-21 11:09:00,36930000,HK,DEV1160,0
TXN00170,CARD00749,C00749,M004,T004,2026-07-02 19:25:00,1480000,US,DEV0903,0
TXN00171,CARD05850,C05850,M007,T007,2026-07-11 11:45:00,30870000,VN,DEV0450,0
TXN00172,CARD05576,C05576,M005,T005,2026-07-09 19:26:00,9450000,US,DEV0122,0
TXN00173,CARD04091,C04091,M011,T011,2026-07-14 06:06:00,27820000,VN,DEV1331,0
TXN00174,CARD00911,C00911,M001,T001,2026-07-01 05:58:00,36940000,VN,DEV1996,0
TXN00175,CARD09631,C09631,M010,T010,2026-07-07 18:12:00,32340000,VN,DEV1716,0
TXN00176,CARD00828,C00828,M010,T010,2026-07-27 00:38:00,23660000,VN,DEV0763,0
TXN00177,CARD05776,C05776,M012,T012,2026-07-18 17:26:00,45980000,VN,DEV1795,0
TXN00178,CARD06908,C06908,M011,T011,2026-07-22 22:50:00,8740000,VN,DEV0562,0
TXN00179,CARD05681,C05681,M009,T009,2026-07-18 23:19:00,44020000,VN,DEV1005,0
TXN00180,CARD00498,C00498,M003,T003,2026-07-19 10:10:00,12860000,HK,DEV1222,0
TXN00181,CARD01882,C01882,M006,T006,2026-07-14 07:37:00,30360000,VN,DEV0635,0
TXN00182,CARD09295,C09295,M004,T004,2026-07-02 05:55:00,50000,SG,DEV1072,0
TXN00183,CARD03708,C03708,M014,T014,2026-07-14 08:56:00,2820000,VN,DEV0536,0
TXN00184,CARD05914,C05914,M009,T009,2026-07-06 13:03:00,29830000,VN,DEV1405,0
TXN00185,CARD05399,C05399,M014,T014,2026-07-08 14:45:00,19750000,VN,DEV0540,0
TXN00186,CARD07666,C07666,M006,T006,2026-07-04 14:59:00,26140000,VN,DEV0799,0
TXN00187,CARD09104,C09104,M014,T014,2026-07-24 18:20:00,27880000,VN,DEV0511,0
TXN00188,CARD06933,C06933,M010,T010,2026-07-08 16:52:00,20020000,VN,DEV1698,0
TXN00189,CARD08852,C08852,M001,T001,2026-07-18 15:28:00,37600000,VN,DEV1020,0
TXN00190,CARD03544,C03544,M001,T001,2026-07-20 16:04:00,18260000,VN,DEV1973,0
TXN00191,CARD04378,C04378,M001,T001,2026-07-05 14:50:00,23700000,VN,DEV1490,0
TXN00192,CARD09998,C09998,M010,T010,2026-07-17 01:57:00,24740000,VN,DEV1262,0
TXN00193,CARD03875,C03875,M003,T003,2026-07-03 00:12:00,13610000,HK,DEV0987,0
TXN00194,CARD09488,C09488,M004,T004,2026-07-23 23:43:00,18050000,SG,DEV1777,0
TXN00195,CARD04836,C04836,M006,T006,2026-07-06 06:40:00,46710000,VN,DEV0597,0
TXN00196,CARD02757,C02757,M002,T002,2026-07-06 13:02:00,9950000,SG,DEV0202,0
TXN00197,CARD08226,C08226,M002,T002,2026-07-04 18:55:00,20100000,SG,DEV1148,0
TXN00198,CARD05949,C05949,M004,T004,2026-07-12 09:55:00,14590000,HK,DEV0643,0
TXN00199,CARD04540,C04540,M010,T010,2026-07-02 22:08:00,43210000,VN,DEV0572,0
TXN00200,CARD08224,C08224,M010,T010,2026-07-03 23:41:00,11790000,VN,DEV0990,0
TXN00201,CARD00648,C00648,M002,T002,2026-07-09 13:45:00,7390000,HK,NEW_DEVICE,1
TXN00202,CARD02403,C02403,M002,T002,2026-07-25 11:38:00,19830000,SG,DEV1124,0
TXN00203,CARD06966,C06966,M004,T004,2026-07-19 02:31:00,60000,SG,DEV0820,0
TXN00204,CARD03708,C03708,M004,T004,2026-07-14 17:51:00,8950000,SG,DEV0082,0
TXN00205,CARD04732,C04732,M010,T010,2026-07-15 08:24:00,6280000,VN,DEV1624,0
TXN00206,CARD09923,C09923,M001,T001,2026-07-23 03:58:00,2530000,VN,DEV1646,0
TXN00207,CARD04915,C04915,M004,T004,2026-07-12 22:05:00,4620000,SG,DEV0277,0
TXN00208,CARD06994,C06994,M009,T009,2026-07-18 08:34:00,20030000,VN,DEV1494,0
TXN00209,CARD02715,C02715,M001,T001,2026-07-27 10:33:00,25890000,VN,DEV0827,0
TXN00210,CARD03399,C03399,M001,T001,2026-07-12 02:09:00,28630000,VN,DEV1722,0
TXN00211,CARD02718,C02718,M005,T005,2026-07-05 12:50:00,22890000,HK,DEV0178,0
TXN00212,CARD03815,C03815,M013,T013,2026-07-11 00:48:00,9650000,VN,DEV0643,0
TXN00213,CARD05397,C05397,M005,T005,2026-07-25 04:16:00,25610000,SG,DEV0281,0
TXN00214,CARD01959,C01959,M009,T009,2026-07-17 11:59:00,5730000,VN,DEV0506,0
TXN00215,CARD03054,C03054,M001,T001,2026-07-01 08:59:00,22280000,VN,DEV1910,0
TXN00216,CARD01589,C01589,M005,T005,2026-07-16 08:24:00,47300000,HK,DEV1830,0
TXN00217,CARD04218,C04218,M001,T001,2026-07-08 23:27:00,10530000,VN,DEV1479,0
TXN00218,CARD01502,C01502,M009,T009,2026-07-06 22:52:00,31240000,VN,DEV1034,0
TXN00219,CARD08918,C08918,M003,T003,2026-07-01 22:16:00,1600000,SG,DEV0001,0
TXN00220,CARD05004,C05004,M006,T006,2026-07-25 13:41:00,10290000,VN,DEV1169,0
TXN00221,CARD07261,C07261,M009,T009,2026-07-20 16:33:00,19880000,VN,DEV1608,0
TXN00222,CARD00959,C00959,M010,T010,2026-07-18 13:20:00,770000,VN,DEV0278,0
TXN00223,CARD00999,C00999,M014,T014,2026-07-06 21:59:00,40470000,VN,DEV1670,0
TXN00224,CARD00338,C00338,M002,T002,2026-07-28 07:10:00,10690000,SG,DEV1618,0
TXN00225,CARD02782,C02782,M004,T004,2026-07-19 05:44:00,48420000,NG,NEW_DEVICE,1
TXN00226,CARD06990,C06990,M006,T006,2026-07-15 12:47:00,41190000,SG,NEW_DEVICE,1
TXN00227,CARD06585,C06585,M002,T002,2026-07-10 08:08:00,19680000,HK,DEV0931,0
TXN00228,CARD09918,C09918,M009,T009,2026-07-14 19:41:00,24030000,VN,DEV0653,0
TXN00229,CARD02808,C02808,M003,T003,2026-07-11 14:13:00,20970000,HK,DEV1939,0
TXN00230,CARD07420,C07420,M002,T002,2026-07-22 07:21:00,14590000,US,DEV1323,0
TXN00231,CARD00217,C00217,M003,T003,2026-07-07 00:35:00,42720000,HK,DEV1795,0
TXN00232,CARD08014,C08014,M006,T006,2026-07-13 22:57:00,4460000,VN,DEV0644,0
TXN00233,CARD01140,C01140,M011,T011,2026-07-03 16:01:00,44170000,VN,DEV0399,0
TXN00234,CARD07708,C07708,M009,T009,2026-07-07 20:04:00,30630000,VN,DEV1969,0
TXN00235,CARD00373,C00373,M008,T008,2026-07-22 12:18:00,33140000,VN,DEV1405,0
TXN00236,CARD04706,C04706,M006,T006,2026-07-08 04:57:00,37020000,VN,DEV1522,0
TXN00237,CARD08481,C08481,M001,T001,2026-07-01 02:33:00,29120000,VN,DEV1417,0
TXN00238,CARD03147,C03147,M014,T014,2026-07-26 09:37:00,12480000,VN,DEV1337,0
TXN00239,CARD07355,C07355,M012,T012,2026-07-01 12:23:00,6800000,VN,DEV0597,0
TXN00240,CARD03884,C03884,M014,T014,2026-07-28 07:21:00,49670000,VN,DEV0496,0
TXN00241,CARD04227,C04227,M011,T011,2026-07-27 02:39:00,22600000,VN,DEV0747,0
TXN00242,CARD03325,C03325,M006,T006,2026-07-22 06:28:00,37290000,VN,DEV0928,0
TXN00243,CARD01016,C01016,M010,T010,2026-07-05 11:39:00,20980000,VN,DEV1010,0
TXN00244,CARD09693,C09693,M011,T011,2026-07-06 09:38:00,17040000,VN,DEV0692,0
TXN00245,CARD09661,C09661,M004,T004,2026-07-04 13:22:00,8910000,US,DEV1121,0
TXN00246,CARD04745,C04745,M012,T012,2026-07-04 21:02:00,29420000,VN,DEV1148,0
TXN00247,CARD00092,C00092,M011,T011,2026-07-13 13:39:00,33340000,VN,DEV1402,0
TXN00248,CARD05596,C05596,M011,T011,2026-07-24 00:26:00,33270000,VN,DEV1139,0
TXN00249,CARD00894,C00894,M014,T014,2026-07-08 03:26:00,22950000,VN,DEV0071,0
TXN00250,CARD04075,C04075,M002,T002,2026-07-05 06:23:00,25560000,SG,DEV1939,0
TXN00251,CARD04761,C04761,M007,T007,2026-07-05 08:37:00,43910000,VN,DEV0052,0
TXN00252,CARD04139,C04139,M009,T009,2026-07-21 11:36:00,13910000,VN,DEV0267,0
TXN00253,CARD01397,C01397,M005,T005,2026-07-24 16:51:00,38960000,SG,DEV0027,0
TXN00254,CARD00202,C00202,M004,T004,2026-07-15 04:52:00,41070000,HK,DEV1297,0
TXN00255,CARD03481,C03481,M003,T003,2026-07-02 15:51:00,29780000,HK,DEV0295,0
TXN00256,CARD06336,C06336,M007,T007,2026-07-06 16:48:00,49370000,VN,DEV0590,0
TXN00257,CARD04693,C04693,M011,T011,2026-07-04 17:14:00,30020000,VN,DEV1143,0
TXN00258,CARD08593,C08593,M003,T003,2026-07-05 05:20:00,44930000,US,DEV1388,0
TXN00259,CARD00755,C00755,M004,T004,2026-07-25 08:02:00,19070000,SG,DEV1393,0
TXN00260,CARD07136,C07136,M009,T009,2026-07-17 21:03:00,24280000,VN,DEV1498,0
TXN00261,CARD03050,C03050,M003,T003,2026-07-12 10:49:00,10320000,HK,DEV0987,0
TXN00262,CARD01351,C01351,M001,T001,2026-07-27 13:04:00,33030000,VN,DEV1612,0
TXN00263,CARD01791,C01791,M009,T009,2026-07-16 14:17:00,5090000,VN,DEV0494,0
TXN00264,CARD09139,C09139,M006,T006,2026-07-12 20:15:00,9760000,VN,DEV1273,0
TXN00265,CARD05589,C05589,M007,T007,2026-07-19 05:20:00,23350000,VN,NEW_DEVICE,1
TXN00266,CARD02563,C02563,M001,T001,2026-07-23 10:21:00,42400000,VN,DEV1357,0
TXN00267,CARD01300,C01300,M002,T002,2026-07-22 05:05:00,45840000,HK,DEV0658,0
TXN00268,CARD07687,C07687,M001,T001,2026-07-20 15:32:00,15870000,VN,DEV1701,0
TXN00269,CARD06042,C06042,M011,T011,2026-07-13 03:46:00,1710000,VN,DEV1711,0
TXN00270,CARD05934,C05934,M005,T005,2026-07-18 14:33:00,33240000,SG,DEV1182,0
TXN00271,CARD05131,C05131,M012,T012,2026-07-06 18:34:00,31540000,VN,DEV0790,0
TXN00272,CARD00280,C00280,M006,T006,2026-07-07 12:44:00,24500000,VN,DEV0476,0
TXN00273,CARD04348,C04348,M012,T012,2026-07-13 01:30:00,16440000,VN,DEV1842,0
TXN00274,CARD07301,C07301,M012,T012,2026-07-24 12:51:00,1680000,VN,DEV1777,0
TXN00275,CARD07716,C07716,M003,T003,2026-07-12 07:50:00,38660000,HK,DEV1261,0
TXN00276,CARD00127,C00127,M006,T006,2026-07-11 15:19:00,36530000,VN,NEW_DEVICE,1
